Gage, Year, Month, Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
Los_Padres_Res,2008,     8, 18.17,  6.24, 22.65,  3.79,    31,0.56072
Los_Padres_Res,2008,     9,  5.89,  1.35, 14.67,  1.21,    30,0.86394
Los_Padres_Res,2009,    10,  4.99,  0.00, 10.18,  1.54,    31,-2.2729e-15
Los_Padres_Res,2009,    11,  4.07,  0.25,  7.34,  0.36,    30,0.60839
Los_Padres_Res,2009,    12,  4.00,  0.00,  6.69,  0.14,    31,2.42e-14
Los_Padres_Res,2009,     1,  4.99,  0.00,  7.21,  0.21,    31,-1.7917e-14
Los_Padres_Res,2009,     2, 16.99, 40.63,  8.34,  1.45,    28,0.5138
Los_Padres_Res,2009,     3, 77.42, 53.57, 87.84, 79.62,    31,0.25524
Los_Padres_Res,2009,     4, 93.98, 34.29,103.03, 68.13,    30,0.9224
Los_Padres_Res,2009,     5, 71.57, 24.77, 45.29,  8.70,    31,0.16215
Los_Padres_Res,2009,     6, 57.84,  9.47, 54.33, 18.31,    30,0.062684
Los_Padres_Res,2009,     7, 31.17,  7.90, 39.61,  9.20,    31,0.98149
Los_Padres_Res,2009,     8, 18.68,  6.16, 23.06,  3.97,    31,0.56111
Los_Padres_Res,2009,     9,  6.05,  1.50, 14.83,  1.32,    30,0.8949
Los_Padres_Res,2010,    10,  4.99,  0.00, 10.18,  1.54,    31,-2.2729e-15
Los_Padres_Res,2010,    11,  4.07,  0.25,  7.34,  0.36,    30,0.60839
Los_Padres_Res,2010,    12,  4.00,  0.00,  6.69,  0.14,    31,2.42e-14
Los_Padres_Res,2010,     1,  4.99,  0.00,  7.21,  0.21,    31,-1.7917e-14
Los_Padres_Res,2010,     2, 16.99, 40.63,  8.34,  1.45,    28,0.5138
Los_Padres_Res,2010,     3, 77.42, 53.57, 87.84, 79.62,    31,0.25524
Los_Padres_Res,2010,     4, 93.98, 34.29,103.03, 68.13,    30,0.9224
Los_Padres_Res,2010,     5, 71.57, 24.77, 45.29,  8.70,    31,0.16215
Los_Padres_Res,2010,     6, 57.84,  9.47, 54.33, 18.31,    30,0.062684
Los_Padres_Res,2010,     7, 31.17,  7.90, 39.61,  9.20,    31,0.98149
Los_Padres_Res,2010,     8, 18.68,  6.16, 23.06,  3.97,    31,0.56111
Los_Padres_Res,2010,     9,  6.05,  1.50, 14.83,  1.32,    30,0.8949
Los_Padres_Res,2011,    10,  4.99,  0.00, 10.18,  1.54,    31,-2.2729e-15
Los_Padres_Res,2011,    11,  4.07,  0.25,  7.34,  0.36,    30,0.60839
Los_Padres_Res,2011,    12,  4.00,  0.00,  6.69,  0.14,    31,2.42e-14
Los_Padres_Res,2011,     1,  4.99,  0.00,  7.21,  0.21,    31,-1.7917e-14
Los_Padres_Res,2011,     2, 16.99, 40.63,  8.34,  1.45,    28,0.5138
Los_Padres_Res,2011,     3, 77.42, 53.57, 87.84, 79.62,    31,0.25524
Los_Padres_Res,2011,     4, 93.98, 34.29,103.03, 68.13,    30,0.9224
Los_Padres_Res,2011,     5, 71.57, 24.77, 45.29,  8.70,    31,0.16215
Los_Padres_Res,2011,     6, 57.84,  9.47, 54.33, 18.31,    30,0.062684
Los_Padres_Res,2011,     7, 31.17,  7.90, 39.61,  9.20,    31,0.98149
Los_Padres_Res,2011,     8, 18.68,  6.16, 23.06,  3.97,    31,0.56111
Los_Padres_Res,2011,     9,  6.05,  1.50, 14.83,  1.32,    30,0.8949
Los_Padres_Res,2012,     1,  4.99,  0.00,  7.21,  0.21,    30,-1.6152e-14
DJ,1993,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,1993,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,1993,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,1993,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,1993,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,1993,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,1993,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,1993,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,1993,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,1993,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,1993,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,1993,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,1994,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,1994,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,1994,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,1994,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,1994,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,1994,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,1994,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,1994,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,1994,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,1994,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,1994,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,1994,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,1995,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,1995,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,1995,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,1995,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,1995,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,1995,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,1995,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,1995,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,1995,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,1995,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,1995,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,1995,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,1996,    10,  4.77,  1.64,  9.31,  2.66,    31,0.95639
DJ,1996,    11,  2.55,  0.31,  4.53,  0.46,    30,-0.64196
DJ,1996,    12,  3.33,  0.26,  3.74,  0.39,    31,-0.71068
DJ,1996,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,1996,     2,  6.35,  2.65,  1.86,  0.35,    29,0.9465
DJ,1996,     3, 80.30, 76.97, 10.59, 33.42,    31,0.593
DJ,1996,     4,798.13,968.66,821.40,773.06,    30,0.62251
DJ,1996,     5,788.00,871.57,658.74,612.98,    31,0.67561
DJ,1996,     6,334.75,111.29,314.27,140.16,    30,0.88254
DJ,1996,     7,179.73, 72.06,122.65, 35.81,    31,0.81747
DJ,1996,     8, 59.42, 22.49, 46.10, 14.31,    31,0.97178
DJ,1996,     9, 25.86, 11.69, 29.40, 12.97,    30,0.6059
DJ,1997,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,1997,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,1997,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,1997,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,1997,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,1997,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,1997,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,1997,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,1997,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,1997,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,1997,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,1997,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,1998,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,1998,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,1998,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,1998,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,1998,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,1998,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,1998,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,1998,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,1998,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,1998,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,1998,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,1998,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,1999,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,1999,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,1999,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,1999,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,1999,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,1999,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,1999,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,1999,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,1999,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,1999,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,1999,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,1999,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,2000,    10,  4.77,  1.64,  9.31,  2.66,    31,0.95639
DJ,2000,    11,  2.55,  0.31,  4.53,  0.46,    30,-0.64196
DJ,2000,    12,  3.33,  0.26,  3.74,  0.39,    31,-0.71068
DJ,2000,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2000,     2,  6.35,  2.65,  1.86,  0.35,    29,0.9465
DJ,2000,     3, 80.30, 76.97, 10.59, 33.42,    31,0.593
DJ,2000,     4,798.13,968.66,821.40,773.06,    30,0.62251
DJ,2000,     5,788.00,871.57,658.74,612.98,    31,0.67561
DJ,2000,     6,334.75,111.29,314.27,140.16,    30,0.88254
DJ,2000,     7,179.73, 72.06,122.65, 35.81,    31,0.81747
DJ,2000,     8, 59.42, 22.49, 46.10, 14.31,    31,0.97178
DJ,2000,     9, 25.86, 11.69, 29.40, 12.97,    30,0.6059
DJ,2001,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,2001,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,2001,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,2001,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2001,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,2001,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,2001,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,2001,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,2001,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,2001,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,2001,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,2001,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,2002,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,2002,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,2002,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,2002,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2002,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,2002,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,2002,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,2002,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,2002,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,2002,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,2002,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,2002,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,2003,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,2003,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,2003,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,2003,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2003,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,2003,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,2003,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,2003,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,2003,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,2003,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,2003,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,2003,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,2004,    10,  4.77,  1.64,  9.31,  2.66,    31,0.95639
DJ,2004,    11,  2.55,  0.31,  4.53,  0.46,    30,-0.64196
DJ,2004,    12,  3.33,  0.26,  3.74,  0.39,    31,-0.71068
DJ,2004,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2004,     2,  6.35,  2.65,  1.86,  0.35,    29,0.9465
DJ,2004,     3, 80.30, 76.97, 10.59, 33.42,    31,0.593
DJ,2004,     4,798.13,968.66,821.40,773.06,    30,0.62251
DJ,2004,     5,788.00,871.57,658.74,612.98,    31,0.67561
DJ,2004,     6,334.75,111.29,314.27,140.16,    30,0.88254
DJ,2004,     7,179.73, 72.06,122.65, 35.81,    31,0.81747
DJ,2004,     8, 59.42, 22.49, 46.10, 14.31,    31,0.97178
DJ,2004,     9, 25.86, 11.69, 29.40, 12.97,    30,0.6059
DJ,2005,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,2005,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,2005,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,2005,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2005,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,2005,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,2005,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,2005,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,2005,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,2005,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,2005,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,2005,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,2006,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,2006,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,2006,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,2006,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2006,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,2006,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,2006,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,2006,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,2006,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,2006,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,2006,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,2006,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,2007,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,2007,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,2007,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,2007,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2007,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,2007,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,2007,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,2007,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,2007,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,2007,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,2007,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,2007,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,2008,    10,  4.77,  1.64,  9.31,  2.66,    31,0.95639
DJ,2008,    11,  2.55,  0.31,  4.53,  0.46,    30,-0.64196
DJ,2008,    12,  3.33,  0.26,  3.74,  0.39,    31,-0.71068
DJ,2008,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2008,     2,  6.35,  2.65,  1.86,  0.35,    29,0.9465
DJ,2008,     3, 80.30, 76.97, 10.59, 33.42,    31,0.593
DJ,2008,     4,798.13,968.66,821.40,773.06,    30,0.62251
DJ,2008,     5,788.00,871.57,658.74,612.98,    31,0.67561
DJ,2008,     6,334.75,111.29,314.27,140.16,    30,0.88254
DJ,2008,     7,179.73, 72.06,122.65, 35.81,    31,0.81747
DJ,2008,     8, 59.42, 22.49, 46.10, 14.31,    31,0.97178
DJ,2008,     9, 25.86, 11.69, 29.40, 12.97,    30,0.6059
DJ,2009,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,2009,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,2009,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,2009,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2009,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,2009,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,2009,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,2009,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,2009,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,2009,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,2009,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,2009,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,2010,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,2010,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,2010,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,2010,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2010,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,2010,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,2010,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,2010,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,2010,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,2010,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,2010,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,2010,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,2011,    10,  4.98,  1.76,  9.64,  2.71,    31,0.9595
DJ,2011,    11,  2.54,  0.30,  4.57,  0.44,    30,-0.60754
DJ,2011,    12,  3.31,  0.26,  3.75,  0.38,    31,-0.671
DJ,2011,     1,  2.56,  2.51,  1.95,  0.46,    31,0.59849
DJ,2011,     2,  6.41,  2.67,  1.87,  0.35,    28,0.94567
DJ,2011,     3, 69.69, 62.14,  4.58,  5.74,    31,-0.043581
DJ,2011,     4,793.68,970.54,816.07,776.98,    30,0.62443
DJ,2011,     5,784.83,872.59,644.87,615.06,    31,0.68031
DJ,2011,     6,345.84,117.19,333.27,162.16,    30,0.88729
DJ,2011,     7,183.80, 71.34,127.00, 37.73,    31,0.78786
DJ,2011,     8, 61.75, 23.51, 47.13, 15.07,    31,0.98317
DJ,2011,     9, 26.69, 11.34, 30.27, 12.85,    30,0.59108
DJ,2012,     1,  2.13,  0.72,  1.92,  0.43,    30,0.87841
NC,1993,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1993,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1993,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1993,     1, 12.63, 13.08,  0.00,  0.00,    31,
NC,1993,     2,  8.87,  5.82,  0.00,  0.00,    28,
NC,1993,     3, 17.86, 49.17,  0.00,  0.00,    31,
NC,1993,     4,171.72, 68.65,  0.00,  0.00,    30,
NC,1993,     5,634.48,859.37,365.00,527.74,    31,0.40733
NC,1993,     6,302.23, 60.97,157.93, 57.43,    30,-0.065488
NC,1993,     7,130.56, 57.53, 52.32, 27.44,    31,0.97497
NC,1993,     8, 25.55, 12.19,  8.06,  6.00,    31,0.96919
NC,1993,     9,  2.09,  2.19,  0.21,  0.40,    30,0.78489
NC,1994,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1994,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1994,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1994,     1, 12.63, 13.08,  0.00,  0.00,    31,
NC,1994,     2,  8.87,  5.82,  0.00,  0.00,    28,
NC,1994,     3, 17.86, 49.17,  0.00,  0.00,    31,
NC,1994,     4,171.72, 68.65,  0.00,  0.00,    30,
NC,1994,     5,634.48,859.37,365.00,527.74,    31,0.40733
NC,1994,     6,302.23, 60.97,157.93, 57.43,    30,-0.065488
NC,1994,     7,130.56, 57.53, 52.32, 27.44,    31,0.97497
NC,1994,     8, 25.55, 12.19,  8.06,  6.00,    31,0.96919
NC,1994,     9,  2.09,  2.19,  0.21,  0.40,    30,0.78489
NC,1995,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1995,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1995,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1995,     1, 12.63, 13.08,  0.00,  0.00,    31,
NC,1995,     2,  8.87,  5.82,  0.00,  0.00,    28,
NC,1995,     3, 17.86, 49.17,  0.00,  0.00,    31,
NC,1995,     4,171.72, 68.65,  0.00,  0.00,    30,
NC,1995,     5,634.48,859.37,365.00,527.74,    31,0.40733
NC,1995,     6,302.23, 60.97,157.93, 57.43,    30,-0.065488
NC,1995,     7,130.56, 57.53, 52.32, 27.44,    31,0.97497
NC,1995,     8, 25.55, 12.19,  8.06,  6.00,    31,0.96919
NC,1995,     9,  2.09,  2.19,  0.21,  0.40,    30,0.78489
NC,1996,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1996,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1996,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1996,     1, 12.63, 13.08,  0.00,  0.00,    31,
NC,1996,     2,  8.76,  5.74,  0.00,  0.00,    29,
NC,1996,     3, 24.80, 61.17,  0.00,  0.00,    31,
NC,1996,     4,166.16, 71.20,  0.00,  0.00,    30,
NC,1996,     5,645.01,854.01,369.65,525.04,    31,0.40031
NC,1996,     6,297.02, 60.69,156.67, 58.16,    30,-0.016813
NC,1996,     7,124.70, 56.88, 49.39, 26.35,    31,0.97542
NC,1996,     8, 24.36, 12.24,  7.61,  5.98,    31,0.96725
NC,1996,     9,  1.89,  2.09,  0.17,  0.36,    30,0.75386
NC,1997,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1997,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1997,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1997,     1, 12.63, 13.08,  0.00,  0.00,    31,
NC,1997,     2,  8.87,  5.82,  0.00,  0.00,    28,
NC,1997,     3, 17.86, 49.17,  0.00,  0.00,    31,
NC,1997,     4,171.72, 68.65,  0.00,  0.00,    30,
NC,1997,     5,634.48,859.37,365.00,527.74,    31,0.40733
NC,1997,     6,302.23, 60.97,157.93, 57.43,    30,-0.065488
NC,1997,     7,130.56, 57.53, 52.32, 27.44,    31,0.97497
NC,1997,     8, 25.55, 12.19,  8.06,  6.00,    31,0.96919
NC,1997,     9,  2.09,  2.19,  0.21,  0.40,    30,0.78489
NC,1998,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1998,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1998,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1998,     1, 12.63, 13.08,  0.00,  0.00,    31,
NC,1998,     2,  8.87,  5.82,  0.00,  0.00,    28,
NC,1998,     3, 17.86, 49.17,  0.00,  0.00,    31,
NC,1998,     4,171.72, 68.65,  0.00,  0.00,    30,
NC,1998,     5,634.48,859.37,365.00,527.74,    31,0.40733
NC,1998,     6,302.23, 60.97,157.93, 57.43,    30,-0.065488
NC,1998,     7,130.56, 57.53, 52.32, 27.44,    31,0.97497
NC,1998,     8, 25.55, 12.19,  8.06,  6.00,    31,0.96919
NC,1998,     9,  2.09,  2.19,  0.21,  0.40,    30,0.78489
NC,1999,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1999,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1999,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1999,     1, 12.63, 13.08,  0.00,  0.00,    31,
NC,1999,     2,  8.87,  5.82,  0.00,  0.00,    28,
NC,1999,     3, 17.86, 49.17,  0.00,  0.00,    31,
NC,1999,     4,171.72, 68.65,  0.00,  0.00,    30,
NC,1999,     5,634.48,859.37,365.00,527.74,    31,0.40733
NC,1999,     6,302.23, 60.97,157.93, 57.43,    30,-0.065488
NC,1999,     7,130.56, 57.53, 52.32, 27.44,    31,0.97497
NC,1999,     8, 25.55, 12.19,  8.06,  6.00,    31,0.96919
NC,1999,     9,  2.09,  2.19,  0.21,  0.40,    30,0.78489
NC,2000,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,2000,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,2000,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,2000,     1, 12.63, 13.08,  0.00,  0.00,    31,
NC,2000,     2,  8.76,  5.74,  0.00,  0.00,    29,
NC,2000,     3, 24.80, 61.17,  0.00,  0.00,    31,
NC,2000,     4,166.16, 71.20,  0.00,  0.00,    30,
NC,2000,     5,645.01,854.01,369.65,525.04,    31,0.40031
NC,2000,     6,297.02, 60.69,156.67, 58.16,    30,-0.016813
NC,2000,     7,124.70, 56.88, 49.39, 26.35,    31,0.97542
NC,2000,     8, 24.36, 12.24,  7.61,  5.98,    31,0.96725
NC,2000,     9,  1.89,  2.09,  0.17,  0.36,    30,0.75386
NC,2001,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,2001,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,2001,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,2001,     1, 12.63, 13.08,  0.00,  0.00,    31,
NC,2001,     2,  8.87,  5.82,  0.00,  0.00,    28,
NC,2001,     3, 17.86, 49.17,  0.00,  0.00,    31,
NC,2001,     4,171.72, 68.65,  0.00,  0.00,    30,
NC,2001,     5,634.48,859.37,365.00,527.74,    31,0.40733
NC,2001,     6,302.23, 60.97,157.93, 57.43,    30,-0.065488
NC,2001,     7,130.56, 57.53, 52.32, 27.44,    31,0.97497
NC,2001,     8, 25.55, 12.19,  8.06,  6.00,    31,0.96919
NC,2001,     9,  2.09,  2.19,  0.21,  0.40,    30,0.78489
NC,2002,    10,  0.00,  0.00,  0.00,  0.00,    31,
