Gage, Year, Month, Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
Los_Padres_Res,2008,     8, 17.91,  5.12, 22.65,  3.79,    31,0.46571
Los_Padres_Res,2008,     9,  9.33,  2.34, 14.67,  1.21,    30,0.84266
Los_Padres_Res,2009,    10,  7.00,  0.00, 10.18,  1.54,    31,-1.985e-15
Los_Padres_Res,2009,    11,  7.00,  0.00,  7.34,  0.36,    30,-6.629e-15
Los_Padres_Res,2009,    12,  3.16,  3.54,  6.69,  0.14,    31,0.7174
Los_Padres_Res,2009,     1,  8.00,  0.00,  7.21,  0.21,    31,1.7917e-14
Los_Padres_Res,2009,     2,  8.00,  0.00,  8.34,  1.45,    28,3.1278e-16
Los_Padres_Res,2009,     3, 77.81, 52.90, 87.84, 79.62,    31,0.29162
Los_Padres_Res,2009,     4, 94.22, 38.25,103.03, 68.13,    30,0.83718
Los_Padres_Res,2009,     5, 72.20, 25.18, 45.29,  8.70,    31,0.13119
Los_Padres_Res,2009,     6, 57.88, 10.71, 54.33, 18.31,    30,0.021734
Los_Padres_Res,2009,     7, 30.01,  7.77, 39.61,  9.20,    31,0.98257
Los_Padres_Res,2009,     8, 18.23,  5.17, 23.06,  3.97,    31,0.48218
Los_Padres_Res,2009,     9,  9.57,  2.44, 14.83,  1.32,    30,0.85604
Los_Padres_Res,2010,    10,  7.00,  0.00, 10.18,  1.54,    31,-1.985e-15
Los_Padres_Res,2010,    11,  7.00,  0.00,  7.34,  0.36,    30,-6.629e-15
Los_Padres_Res,2010,    12,  3.16,  3.54,  6.69,  0.14,    31,0.7174
Los_Padres_Res,2010,     1,  8.00,  0.00,  7.21,  0.21,    31,1.7917e-14
Los_Padres_Res,2010,     2,  8.00,  0.00,  8.34,  1.45,    28,3.1278e-16
Los_Padres_Res,2010,     3, 77.81, 52.90, 87.84, 79.62,    31,0.29162
Los_Padres_Res,2010,     4, 94.22, 38.25,103.03, 68.13,    30,0.83718
Los_Padres_Res,2010,     5, 72.20, 25.18, 45.29,  8.70,    31,0.13119
Los_Padres_Res,2010,     6, 57.88, 10.71, 54.33, 18.31,    30,0.021734
Los_Padres_Res,2010,     7, 30.01,  7.77, 39.61,  9.20,    31,0.98257
Los_Padres_Res,2010,     8, 18.23,  5.17, 23.06,  3.97,    31,0.48218
Los_Padres_Res,2010,     9,  9.57,  2.44, 14.83,  1.32,    30,0.85604
Los_Padres_Res,2011,    10,  7.00,  0.00, 10.18,  1.54,    31,-1.985e-15
Los_Padres_Res,2011,    11,  7.00,  0.00,  7.34,  0.36,    30,-6.629e-15
Los_Padres_Res,2011,    12,  3.16,  3.54,  6.69,  0.14,    31,0.7174
Los_Padres_Res,2011,     1,  8.00,  0.00,  7.21,  0.21,    31,1.7917e-14
Los_Padres_Res,2011,     2,  8.00,  0.00,  8.34,  1.45,    28,3.1278e-16
Los_Padres_Res,2011,     3, 77.81, 52.90, 87.84, 79.62,    31,0.29162
Los_Padres_Res,2011,     4, 94.22, 38.25,103.03, 68.13,    30,0.83718
Los_Padres_Res,2011,     5, 72.20, 25.18, 45.29,  8.70,    31,0.13119
Los_Padres_Res,2011,     6, 57.88, 10.71, 54.33, 18.31,    30,0.021734
Los_Padres_Res,2011,     7, 30.01,  7.77, 39.61,  9.20,    31,0.98257
Los_Padres_Res,2011,     8, 18.23,  5.17, 23.06,  3.97,    31,0.48218
Los_Padres_Res,2011,     9,  9.57,  2.44, 14.83,  1.32,    30,0.85604
Los_Padres_Res,2012,     1,  8.00,  0.00,  7.21,  0.21,    30,1.6152e-14
DJ,1993,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,1993,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,1993,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,1993,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,1993,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,1993,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,1993,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,1993,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,1993,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,1993,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,1993,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,1993,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,1994,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,1994,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,1994,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,1994,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,1994,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,1994,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,1994,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,1994,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,1994,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,1994,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,1994,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,1994,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,1995,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,1995,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,1995,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,1995,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,1995,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,1995,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,1995,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,1995,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,1995,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,1995,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,1995,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,1995,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,1996,    10,  6.67,  0.75,  9.31,  2.66,    31,0.13766
DJ,1996,    11,  5.52,  0.33,  4.53,  0.46,    30,-0.62056
DJ,1996,    12,  6.33,  0.26,  3.74,  0.39,    31,-0.68542
DJ,1996,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,1996,     2,  8.43,  2.78,  1.86,  0.35,    29,0.95361
DJ,1996,     3, 52.50, 73.45, 10.59, 33.42,    31,0.9194
DJ,1996,     4,751.91,1054.56,821.40,773.06,    30,0.64406
DJ,1996,     5,746.87,876.71,658.74,612.98,    31,0.67487
DJ,1996,     6,357.40,119.02,314.27,140.16,    30,0.84533
DJ,1996,     7,182.75, 93.42,122.65, 35.81,    31,0.86718
DJ,1996,     8, 47.92, 17.36, 46.10, 14.31,    31,0.97589
DJ,1996,     9, 24.30, 13.41, 29.40, 12.97,    30,0.62259
DJ,1997,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,1997,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,1997,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,1997,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,1997,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,1997,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,1997,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,1997,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,1997,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,1997,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,1997,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,1997,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,1998,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,1998,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,1998,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,1998,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,1998,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,1998,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,1998,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,1998,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,1998,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,1998,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,1998,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,1998,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,1999,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,1999,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,1999,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,1999,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,1999,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,1999,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,1999,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,1999,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,1999,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,1999,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,1999,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,1999,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,2000,    10,  6.67,  0.75,  9.31,  2.66,    31,0.13766
DJ,2000,    11,  5.52,  0.33,  4.53,  0.46,    30,-0.62056
DJ,2000,    12,  6.33,  0.26,  3.74,  0.39,    31,-0.68542
DJ,2000,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2000,     2,  8.43,  2.78,  1.86,  0.35,    29,0.95361
DJ,2000,     3, 52.50, 73.45, 10.59, 33.42,    31,0.9194
DJ,2000,     4,751.91,1054.56,821.40,773.06,    30,0.64406
DJ,2000,     5,746.87,876.71,658.74,612.98,    31,0.67487
DJ,2000,     6,357.40,119.02,314.27,140.16,    30,0.84533
DJ,2000,     7,182.75, 93.42,122.65, 35.81,    31,0.86718
DJ,2000,     8, 47.92, 17.36, 46.10, 14.31,    31,0.97589
DJ,2000,     9, 24.30, 13.41, 29.40, 12.97,    30,0.62259
DJ,2001,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,2001,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,2001,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,2001,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2001,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,2001,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,2001,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,2001,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,2001,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,2001,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,2001,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,2001,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,2002,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,2002,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,2002,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,2002,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2002,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,2002,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,2002,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,2002,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,2002,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,2002,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,2002,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,2002,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,2003,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,2003,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,2003,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,2003,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2003,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,2003,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,2003,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,2003,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,2003,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,2003,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,2003,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,2003,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,2004,    10,  6.67,  0.75,  9.31,  2.66,    31,0.13766
DJ,2004,    11,  5.52,  0.33,  4.53,  0.46,    30,-0.62056
DJ,2004,    12,  6.33,  0.26,  3.74,  0.39,    31,-0.68542
DJ,2004,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2004,     2,  8.43,  2.78,  1.86,  0.35,    29,0.95361
DJ,2004,     3, 52.50, 73.45, 10.59, 33.42,    31,0.9194
DJ,2004,     4,751.91,1054.56,821.40,773.06,    30,0.64406
DJ,2004,     5,746.87,876.71,658.74,612.98,    31,0.67487
DJ,2004,     6,357.40,119.02,314.27,140.16,    30,0.84533
DJ,2004,     7,182.75, 93.42,122.65, 35.81,    31,0.86718
DJ,2004,     8, 47.92, 17.36, 46.10, 14.31,    31,0.97589
DJ,2004,     9, 24.30, 13.41, 29.40, 12.97,    30,0.62259
DJ,2005,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,2005,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,2005,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,2005,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2005,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,2005,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,2005,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,2005,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,2005,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,2005,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,2005,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,2005,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,2006,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,2006,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,2006,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,2006,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2006,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,2006,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,2006,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,2006,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,2006,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,2006,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,2006,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,2006,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,2007,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,2007,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,2007,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,2007,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2007,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,2007,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,2007,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,2007,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,2007,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,2007,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,2007,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,2007,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,2008,    10,  6.67,  0.75,  9.31,  2.66,    31,0.13766
DJ,2008,    11,  5.52,  0.33,  4.53,  0.46,    30,-0.62056
DJ,2008,    12,  6.33,  0.26,  3.74,  0.39,    31,-0.68542
DJ,2008,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2008,     2,  8.43,  2.78,  1.86,  0.35,    29,0.95361
DJ,2008,     3, 52.50, 73.45, 10.59, 33.42,    31,0.9194
DJ,2008,     4,751.91,1054.56,821.40,773.06,    30,0.64406
DJ,2008,     5,746.87,876.71,658.74,612.98,    31,0.67487
DJ,2008,     6,357.40,119.02,314.27,140.16,    30,0.84533
DJ,2008,     7,182.75, 93.42,122.65, 35.81,    31,0.86718
DJ,2008,     8, 47.92, 17.36, 46.10, 14.31,    31,0.97589
DJ,2008,     9, 24.30, 13.41, 29.40, 12.97,    30,0.62259
DJ,2009,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,2009,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,2009,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,2009,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2009,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,2009,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,2009,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,2009,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,2009,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,2009,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,2009,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,2009,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,2010,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,2010,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,2010,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,2010,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2010,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,2010,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,2010,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,2010,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,2010,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,2010,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,2010,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,2010,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,2011,    10,  6.71,  0.72,  9.64,  2.71,    31,0.035188
DJ,2011,    11,  5.51,  0.32,  4.57,  0.44,    30,-0.60319
DJ,2011,    12,  6.31,  0.26,  3.75,  0.38,    31,-0.6171
DJ,2011,     1,  4.39,  2.62,  1.95,  0.46,    31,0.62767
DJ,2011,     2,  8.51,  2.79,  1.87,  0.35,    28,0.95263
DJ,2011,     3, 39.04, 26.29,  4.58,  5.74,    31,-0.046967
DJ,2011,     4,750.38,1055.02,816.07,776.98,    30,0.64365
DJ,2011,     5,744.39,877.41,644.87,615.06,    31,0.67879
DJ,2011,     6,367.81,121.50,333.27,162.16,    30,0.83581
DJ,2011,     7,187.47, 92.15,127.00, 37.73,    31,0.82517
DJ,2011,     8, 49.84, 18.38, 47.13, 15.07,    31,0.98525
DJ,2011,     9, 25.02, 13.00, 30.27, 12.85,    30,0.60184
DJ,2012,     1,  3.95,  0.91,  1.92,  0.43,    30,0.84343
NC,1993,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1993,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1993,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1993,     1,  0.33,  1.28,  0.00,  0.00,    31,
NC,1993,     2,  0.02,  0.02,  0.00,  0.00,    28,
NC,1993,     3, 25.24,119.77,  0.00,  0.00,    31,
NC,1993,     4,103.85,126.70,  0.00,  0.00,    30,
NC,1993,     5,666.06,722.07,365.00,527.74,    31,0.61169
NC,1993,     6,272.64, 62.36,157.93, 57.43,    30,-0.0541
NC,1993,     7,103.49, 53.08, 52.32, 27.44,    31,0.97132
NC,1993,     8, 13.84,  8.89,  8.06,  6.00,    31,0.94521
NC,1993,     9,  0.90,  0.96,  0.21,  0.40,    30,0.41743
NC,1994,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1994,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1994,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1994,     1,  0.33,  1.28,  0.00,  0.00,    31,
NC,1994,     2,  0.02,  0.02,  0.00,  0.00,    28,
NC,1994,     3, 25.24,119.77,  0.00,  0.00,    31,
NC,1994,     4,103.85,126.70,  0.00,  0.00,    30,
NC,1994,     5,666.06,722.07,365.00,527.74,    31,0.61169
NC,1994,     6,272.64, 62.36,157.93, 57.43,    30,-0.0541
NC,1994,     7,103.49, 53.08, 52.32, 27.44,    31,0.97132
NC,1994,     8, 13.84,  8.89,  8.06,  6.00,    31,0.94521
NC,1994,     9,  0.90,  0.96,  0.21,  0.40,    30,0.41743
NC,1995,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1995,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1995,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1995,     1,  0.33,  1.28,  0.00,  0.00,    31,
NC,1995,     2,  0.02,  0.02,  0.00,  0.00,    28,
NC,1995,     3, 25.24,119.77,  0.00,  0.00,    31,
NC,1995,     4,103.85,126.70,  0.00,  0.00,    30,
NC,1995,     5,666.06,722.07,365.00,527.74,    31,0.61169
NC,1995,     6,272.64, 62.36,157.93, 57.43,    30,-0.0541
NC,1995,     7,103.49, 53.08, 52.32, 27.44,    31,0.97132
NC,1995,     8, 13.84,  8.89,  8.06,  6.00,    31,0.94521
NC,1995,     9,  0.90,  0.96,  0.21,  0.40,    30,0.41743
NC,1996,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1996,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1996,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1996,     1,  0.33,  1.28,  0.00,  0.00,    31,
NC,1996,     2,  0.02,  0.02,  0.00,  0.00,    29,
NC,1996,     3, 43.55,154.22,  0.00,  0.00,    31,
NC,1996,     4, 85.64, 92.35,  0.00,  0.00,    30,
NC,1996,     5,676.41,714.78,369.65,525.04,    31,0.60642
NC,1996,     6,268.85, 61.43,156.67, 58.16,    30,-0.024114
NC,1996,     7, 97.03, 49.43, 49.39, 26.35,    31,0.97142
NC,1996,     8, 12.96,  8.80,  7.61,  5.98,    31,0.94603
NC,1996,     9,  0.88,  0.97,  0.17,  0.36,    30,0.50686
NC,1997,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1997,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1997,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1997,     1,  0.33,  1.28,  0.00,  0.00,    31,
NC,1997,     2,  0.02,  0.02,  0.00,  0.00,    28,
NC,1997,     3, 25.24,119.77,  0.00,  0.00,    31,
NC,1997,     4,103.85,126.70,  0.00,  0.00,    30,
NC,1997,     5,666.06,722.07,365.00,527.74,    31,0.61169
NC,1997,     6,272.64, 62.36,157.93, 57.43,    30,-0.0541
NC,1997,     7,103.49, 53.08, 52.32, 27.44,    31,0.97132
NC,1997,     8, 13.84,  8.89,  8.06,  6.00,    31,0.94521
NC,1997,     9,  0.90,  0.96,  0.21,  0.40,    30,0.41743
NC,1998,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1998,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1998,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1998,     1,  0.33,  1.28,  0.00,  0.00,    31,
NC,1998,     2,  0.02,  0.02,  0.00,  0.00,    28,
NC,1998,     3, 25.24,119.77,  0.00,  0.00,    31,
NC,1998,     4,103.85,126.70,  0.00,  0.00,    30,
NC,1998,     5,666.06,722.07,365.00,527.74,    31,0.61169
NC,1998,     6,272.64, 62.36,157.93, 57.43,    30,-0.0541
NC,1998,     7,103.49, 53.08, 52.32, 27.44,    31,0.97132
NC,1998,     8, 13.84,  8.89,  8.06,  6.00,    31,0.94521
NC,1998,     9,  0.90,  0.96,  0.21,  0.40,    30,0.41743
NC,1999,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,1999,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,1999,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,1999,     1,  0.33,  1.28,  0.00,  0.00,    31,
NC,1999,     2,  0.02,  0.02,  0.00,  0.00,    28,
NC,1999,     3, 25.24,119.77,  0.00,  0.00,    31,
NC,1999,     4,103.85,126.70,  0.00,  0.00,    30,
NC,1999,     5,666.06,722.07,365.00,527.74,    31,0.61169
NC,1999,     6,272.64, 62.36,157.93, 57.43,    30,-0.0541
NC,1999,     7,103.49, 53.08, 52.32, 27.44,    31,0.97132
NC,1999,     8, 13.84,  8.89,  8.06,  6.00,    31,0.94521
NC,1999,     9,  0.90,  0.96,  0.21,  0.40,    30,0.41743
NC,2000,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,2000,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,2000,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,2000,     1,  0.33,  1.28,  0.00,  0.00,    31,
NC,2000,     2,  0.02,  0.02,  0.00,  0.00,    29,
NC,2000,     3, 43.55,154.22,  0.00,  0.00,    31,
NC,2000,     4, 85.64, 92.35,  0.00,  0.00,    30,
NC,2000,     5,676.41,714.78,369.65,525.04,    31,0.60642
NC,2000,     6,268.85, 61.43,156.67, 58.16,    30,-0.024114
NC,2000,     7, 97.03, 49.43, 49.39, 26.35,    31,0.97142
NC,2000,     8, 12.96,  8.80,  7.61,  5.98,    31,0.94603
NC,2000,     9,  0.88,  0.97,  0.17,  0.36,    30,0.50686
NC,2001,    10,  0.00,  0.00,  0.00,  0.00,    31,
NC,2001,    11,  0.00,  0.00,  0.00,  0.00,    30,
NC,2001,    12,  0.00,  0.00,  0.00,  0.00,    31,
NC,2001,     1,  0.33,  1.28,  0.00,  0.00,    31,
NC,2001,     2,  0.02,  0.02,  0.00,  0.00,    28,
NC,2001,     3, 25.24,119.77,  0.00,  0.00,    31,
NC,2001,     4,103.85,126.70,  0.00,  0.00,    30,
NC,2001,     5,666.06,722.07,365.00,527.74,    31,0.61169
NC,2001,     6,272.64, 62.36,157.93, 57.43,    30,-0.0541
NC,2001,     7,103.49, 53.08, 52.32, 27.44,    31,0.97132
NC,2001,     8, 13.84,  8.89,  8.06,  6.00,    31,0.94521
NC,2001,     9,  0.90,  0.96,  0.21,  0.40,    30,0.41743
